IATA,Terminal
N/A,Unknown
N/A,Private flight
GNL,135 Airways
RNX,1Time Airline
WYT,2 Sqn No 1 Elementary Flying Training School
TFU,213 Flight Unit
CHD,223 Flight Unit State Airline
TTF,224th Flight Unit
TWF,247 Jet Ltd
SEC,3D Aviation
MLA,40-Mile Air
QRT,4D Air
THD,611897 Alberta Limited
AAA,Ansett Australia
,Abacus International
AAB,Abelag Aviation
AAC,Army Air Corps
AAD,Aero Aviation Centre Ltd.
SII,Aero Servicios Ejecutivos Internacionales
BZS,Aero Biniza
ABM,Aero Albatros
AAF,Aigle Azur
AAH,Aloha Airlines
AAK,Alaska Island Air
AAL,American Airlines
AAM,Aviation Management Corporation
AAO,Atlantis Airlines (USA)
AAP,Aerovista Airlines
AAR,Asiana Airlines
AAS,Askari Aviation
AAU,Australia Asia Airlines
AAV,Astro Air International
AAW,Afriqiyah Airways
AFU,Afrinat International Airlines
AAX,Afric'air Express
AAY,Allegiant Air
AAZ,Angus Aviation
ABA,Artem-Avia
ABB,African Business and Transportations
ABE,Aban Air
ABF,Aerial Oy
ABG,Abakan-Avia
TUS,ABSA - Aerolinhas Brasileiras
ABJ,Abaet
ABK,Alberta Citylink
ABO,APSA Colombia
ABU,Aerovias Bueno
ACR,Aerocenter
ABV,Antrak Air
ABX,Airborne Express
ABX,ABX Air
ABZ,ATA Brasil
ACC,Avcard Services
ACD,Academy Airlines
ACO,Aero Comondu
ACP,Astral Aviation
ACS,Air Cess
AAI,Air Aurora
ACU,Air Cargo Transportation System
ACV,Air Charter Service
RSO,Aero Asia International
ACX,Air Charters
TGA,Air Togo
RSM,Air Somalia
ACY,Atlas Cargo Lines
ADA,Airservices Australia
,Advance Leasing Company
,Aztec Worldwide Airlines
,Air Tindi
ADB,Antonov Airlines
ADC,Air Atlantic Dominicana
ADD,Advanced Air Co.
ADE,Ada Air
ADG,Aerea Flying Training Organization
ADI,Audeli Air
ADJ,Abicar
ADK,ADC Airlines
ADL,Aero Dynamics
ADM,Aerolineas Dominicanas
ADN,Aerodienst GmbH
ADP,Aerodiplomatic
ADY,Aerodyne
ADQ,Avion Taxi
ADR,Adria Airways
ADS,Aviones de Sonora
ADT,Air Dorval
ADU,Airdeal Oy
ADV,Advance Air Charters
ADW,Air Andaman
ADX,Anderson Aviation
AEA,Air Europa
ASW,Air Southwest Ltd.
ASX,Air Special
AEB,Aero Benin
AEC,Aerocesar
AED,Aerotrans Airlines
AEE,Aegean Airlines
AEG,Aerofumigaciones Sam
AEI,Aeroexpreso Interamericano
AEJ,Air Express
AEK,Aerocon
AEM,Aero Madrid
AEN,Aeroenlaces Nacionales
AEO,Aeroservicios Ejecutivos Del Occidente
AEP,Aerotec
AAG,Air Atlantique
AEL,Air Europe
AAJ,Air Alma
AEQ,Air Express
AER,Alaska Central Express
AES,ACES Colombia
AET,Aeronautical Radio of Thailand
AEU,Astraeus
AEV,Aeroventas
AEW,Aerosvit Airlines
AEX,Airway Express
AEY,Air Italy
AEZ,Aerial Transit Company
AFA,Alfa Air
AFB,American Falcon
UTY,Alliance Airlines
UVS,Air Universal
UVT,Auvia Air
AFC,African West Air
AFE,Airfast Indonesia
AFG,Ariana Afghan Airlines
AFH,Air Fecteau
AFI,Africaone
AFJ,Alliance
AFK,Africa Air Links
AFL,Aeroflot Russian Airlines
AFO,Aero Empresa Mexicana
BON,Air Bosna
BRF,Air Bravo
BRL,Air Brasd'or
BRM,Air 500
AFQ,Alba Servizi Aerotrasporti
AFR,Air France
ACG,Air Partner
ACI,Air Caledonie International
ACM,Air Caledonia
AGM,Air Guam
AGN,Air Gabon
AFS,Air Data
AFV,Air Afrique Vacancies
MVM,Air Cargo America
,Air Salone
NGO,Air-Angol
NGP,Air Nigeria
SNC,Air Cargo Carriers
SND,Air Samarkand
SNG,Air Senegal International
SNY,Air Sandy
NMB,Air Namibia
NSK,Air Intersalonika
NTL,Air Anatolia
SGA,Air Saigon
AFW,Afrique Regional Airways
AFX,Airfreight Express
AFY,Africa Chartered Services
AFZ,Africa Freight Services
AGA,Aeronaves Del Centro
AGB,Air Service Gabon
AGC,Arab Agricultural Aviation Company
AGF,Atlantic Gulf Airlines
SLI,Aerolitoral
AGG,Algoma Airways
AGH,Altagna
AGO,Angola Air Charter
AGO,Angola Air Charter
AGP,AERFI Group
AGQ,Aerogala
AGT,Amadeus Global Travel Distribution
AGU,Angara Airlines
AGV,Air Glaciers
AGW,Aero Gambia
AGX,Aviogenex
BLR,Atlantic Coast Airlines
BLZ,Aero Barloz
PLI,Aeroper
BMM,Atlas Blue
BNB,Aero Banobras
AGY,Aero Flight Service
AGZ,Agrolet-Mci
AHA,Air Alpha Greenland
AHC,Azal Avia Cargo
AHE,Airport Helicopter Basel
CJE,Aeroservices Corporate
AHF,Aspen Helicopters
AHG,Aerochago Airlines
AHH,Airplanes Holdings
AHK,Air Hong Kong
AHP,Aerochiapas
AHR,Air Adriatic
AHS,Air Viggi San Raffaele
AHU,ABC Air Hungary
AHW,Aeromist-Kharkiv
